POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH,ARTICLE_ID
0,0,0,0.283530106,40.71428571,26.66666667,26.95238095,40.71428571,76,285,1.971929825,5,5.877192982,Netclan20241017
0,0,0,0.428591307,35.64,18.18181818,21.52872727,35.64,162,891,1.712682379,17,4.914702581,Netclan20241018
1,0,0.999999,0.273145246,38.66666667,22.4137931,24.43218391,38.66666667,104,464,1.844827586,3,5.36637931,Netclan20241019
3,0,0.999999667,0.359004329,23.85185185,37.88819876,24.69602024,23.85185185,244,644,2.223602484,8,6.416149068,Netclan20241020
0,0,0,0.315664477,20,24.70588235,17.88235294,20,168,680,1.954411765,2,5.547058824,Netclan20241021
0,0,0,0.283530106,47.33333333,26.4084507,29.49671362,47.33333333,75,284,1.964788732,5,5.855633803,Netclan20241022
0,0,0,0.429186959,37.16666667,18.2735426,22.17608371,37.16666667,163,892,1.715246637,17,4.926008969,Netclan20241023
1,0,0.999999,0.264040404,42.72727273,21.91489362,25.85686654,42.72727273,103,470,1.825531915,3,5.310638298,Netclan20241024
3,0,0.999999667,0.359004329,24.73076923,37.94712286,25.07115684,24.73076923,244,643,2.227060653,8,6.421461897,Netclan20241025
3,0,0.999999667,0.410588705,23.94202899,34.68523002,23.4509036,23.94202899,573,1652,2.158595642,3,6.139830508,Netclan20241026
2,0,0.9999995,0.354891775,26.45,35.53875236,24.79550095,26.45,188,529,2.202268431,4,6.194706994,Netclan20241027
0,0,0,0.446753247,26.76,40.65769806,26.96707922,26.76,272,669,2.310911809,9,6.541106129,Netclan20241028
1,0,0.999999,0.402056277,31.4,31.63481953,25.21392781,31.4,149,471,2.148619958,8,6.409766454,Netclan20241029
0,0,0,0.379337121,30.5,34.83606557,26.13442623,30.5,170,488,2.198770492,8,6.379098361,Netclan20241030
4,0,0.99999975,0.353105501,19.9375,34.01253918,21.58001567,19.9375,434,1276,2.131661442,11,6.121473354,Netclan20241031
1,0,0.999999,0.349220466,19.25531915,28.28729282,19.01704479,19.25531915,256,905,1.984530387,6,5.782320442,Netclan20241032
0,0,0,0.438850449,23.58730159,36.13728129,23.88983315,23.58730159,537,1486,2.227456258,48,6.301480485,Netclan20241033
0,0,0,0.333522727,24.07692308,30.3514377,21.77134431,24.07692308,95,313,2.073482428,6,5.974440895,Netclan20241034
0,0,0,0.519033115,21.02272727,29.08108108,20.04152334,21.02272727,269,925,2.051891892,5,5.783783784,Netclan20241035
1,0,0.999999,0.344891775,19.34375,31.50242326,20.33846931,19.34375,195,619,2.117932149,5,6.069466882,Netclan20241036
0,0,0,0.246212121,27.72727273,27.86885246,22.23845007,27.72727273,85,305,2.02295082,4,5.724590164,Netclan20241037
0,0,0,0.336417749,24.15384615,38.85350318,25.20293974,24.15384615,122,314,2.308917197,4,6.414012739,Netclan20241038
1,0,0.999999,0.34491342,30.1,30.89700997,24.39880399,30.1,93,301,2.112956811,4,6.182724252,Netclan20241039
0,0,0,0.422918748,24.91666667,32.77591973,23.07703456,24.91666667,98,299,2.210702341,4,6.498327759,Netclan20241040
0,0,0,0.486429513,27.72727273,35.73770492,25.38599106,27.72727273,109,305,2.272131148,4,6.537704918,Netclan20241041
0,0,0,0.495985832,37.22222222,31.04477612,27.30679934,37.22222222,104,335,2.101492537,4,5.970149254,Netclan20241042
0,0,0,0.520592287,21.70588235,23.30623306,18.00484617,21.70588235,172,738,1.89295393,3,5.623306233,Netclan20241043
3,0,0.999999667,0.492231015,55,27.83216783,33.13286713,55,199,715,2.002797203,2,5.994405594,Netclan20241044
0,0,0,0.388230045,49.8125,25.59598494,30.16339398,49.8125,204,797,1.936010038,7,5.69259724,Netclan20241045
1,0,0.999999,0.465283958,35.625,24.09356725,23.8874269,35.625,206,855,1.92748538,2,5.699415205,Netclan20241046
1,0,0.999999,0.44494267,95.66666667,32.75261324,51.36771196,95.66666667,188,574,2.162020906,3,6.165505226,Netclan20241047
1,0,0.999999,0.415384615,38.13636364,32.6579261,28.3177159,38.13636364,274,839,2.239570918,9,6.52205006,Netclan20241048
0,0,0,0.426052827,51.04545455,23.41941229,29.78594673,51.04545455,263,1123,1.939447907,2,5.676758682,Netclan20241049
0,0,0,0.459713203,37.23076923,29.75206612,26.79313414,37.23076923,144,484,2.103305785,2,6.252066116,Netclan20241050
4,0,0.99999975,0.469003595,37.15789474,28.39943343,26.22293127,37.15789474,401,1412,2.076487252,2,6.141643059,Netclan20241051
0,0,0,0.412564529,48.73684211,26.67386609,30.16428328,48.73684211,247,926,2.016198704,3,5.779697624,Netclan20241052
1,0,0.999999,0.383883979,36.95833333,31.90529876,27.54545284,36.95833333,283,887,2.087936866,8,5.959413754,Netclan20241053
4,0,0.99999975,0.513366868,75.83333333,29.67032967,42.2014652,75.83333333,270,910,2.108791209,2,6.043956044,Netclan20241054
1,0,0.999999,0.302683616,29.4375,18.89596603,19.33338641,29.4375,267,1413,1.801132343,39,5.181882519,Netclan20241055
0,0,0,0.428525046,105,17.85714286,49.14285714,105,75,420,1.8,1,5.223809524,Netclan20241056
0,0,0,0.3875,143.25,28.79581152,68.81832461,143.25,165,573,2.043630017,3,5.879581152,Netclan20241057
0,0,0,0.314772727,30.5,21.8579235,20.9431694,30.5,80,366,1.868852459,9,5.461748634,Netclan20241058
0,0,0,0.345652174,40.66666667,22.95081967,25.44699454,40.66666667,84,366,1.898907104,14,5.707650273,Netclan20241059
0,0,0,0.369387052,21.15789474,16.91542289,15.22932705,21.15789474,68,402,1.7039801,21,5.019900498,Netclan20241060
0,0,0,0.516021825,20.18181818,18.46846847,15.46011466,20.18181818,82,444,1.693693694,9,4.984234234,Netclan20241061
2,0,0.9999995,0.369626855,30.20588235,23.46640701,21.46891575,30.20588235,241,1027,1.828627069,5,5.41382668,Netclan20241062
0,0,0,0.354269481,97.25,26.4781491,49.49125964,97.25,103,389,2.102827763,2,6.215938303,Netclan20241063
1,0,0.999999,0.282272727,260.5,27.44721689,115.1788868,260.5,143,521,2.028790787,2,6.015355086,Netclan20241064
0,0,0,0.399583333,158,27.21518987,74.08607595,158,86,316,2.066455696,3,5.955696203,Netclan20241065
0,0,0,0.370535714,38.85714286,32.72058824,28.63109244,38.85714286,89,272,2.246323529,2,6.496323529,Netclan20241066
0,0,0,0.464922125,32.15,23.1726283,22.12905132,32.15,149,643,1.846034215,31,5.421461897,Netclan20241067
0,0,0,0.435298786,42.07692308,22.12065814,25.67903248,42.07692308,121,547,1.829981718,18,5.190127971,Netclan20241068
1,0,0.999999,0.265641026,27.1,18.81918819,18.36767528,27.1,102,542,1.743542435,26,5.15498155,Netclan20241069
0,0,0,0.356818182,35.72727273,28.49872774,25.69040019,35.72727273,112,393,1.928753181,7,5.750636132,Netclan20241070
0,0,0,0.194623656,39.7,24.68513854,25.75405542,39.7,98,397,1.899244332,4,5.753148615,Netclan20241071
0,0,0,0.321503497,58.25,31.3304721,35.83218884,58.25,73,233,2.150214592,3,6.111587983,Netclan20241072
0,0,0,0.460867896,51.44444444,18.79049676,28.09397648,51.44444444,87,463,1.794816415,12,5.334773218,Netclan20241073
0,0,0,0.294642235,27,21.42857143,19.37142857,27,81,378,1.875661376,5,5.417989418,Netclan20241074
0,0,0,0.302380952,66,32.32323232,39.32929293,66,64,198,2.161616162,2,6.328282828,Netclan20241075
0,0,0,0.226785714,42,31.74603175,29.4984127,42,40,126,2.293650794,3,6.753968254,Netclan20241076
0,0,0,0.172727273,83,30.12048193,45.24819277,83,50,166,2.204819277,3,6.596385542,Netclan20241077
0,0,0,0.25030303,63.66666667,27.22513089,36.35671902,63.66666667,52,191,2.146596859,3,6.476439791,Netclan20241078
0,0,0,0.237662338,62.5,36,39.4,62.5,45,125,2.464,2,7.4,Netclan20241079
0,0,0,0.224776786,32.83333333,37.05583756,27.95566836,32.83333333,73,197,2.314720812,3,6.563451777,Netclan20241080
0,0,0,0.386796537,33.81818182,23.11827957,22.77458456,33.81818182,86,372,1.873655914,10,5.478494624,Netclan20241081
1,0,0.999999,0.456666667,51.375,26.03406326,30.9636253,51.375,107,411,1.95620438,14,5.822384428,Netclan20241082
0,0,0,0.514202954,37.41666667,24.72160356,24.85530809,37.41666667,111,449,1.948775056,11,5.481069042,Netclan20241083
0,0,0,0.465909091,37.61538462,19.42740286,22.81711499,37.61538462,95,489,1.82208589,13,5.122699387,Netclan20241084
0,0,0,0.405187075,28.69230769,30.29490617,23.59488554,28.69230769,113,373,2.021447721,16,5.73458445,Netclan20241085
